iter	Passed	Remaining
415	3102	4354
416	3108	4346
417	3116	4338
418	3124	4332
419	3131	4324
420	3138	4316
421	3145	4308
422	3152	4299
423	3159	4291
424	3166	4283
425	3173	4276
426	3180	4268
427	3187	4259
428	3194	4252
429	3201	4244
430	3208	4236
431	3216	4228
432	3223	4221
433	3230	4212
434	3237	4204
435	3244	4197
436	3251	4188
437	3258	4180
438	3265	4172
439	3272	4165
440	3279	4157
441	3287	4150
442	3295	4143
443	3302	4135
444	3309	4127
445	3315	4118
446	3323	4111
447	3330	4103
448	3338	4097
449	3347	4091
450	3355	4084
451	3363	4077
452	3371	4071
453	3379	4064
454	3386	4056
455	3394	4049
456	3402	4042
457	3409	4035
458	3417	4027
459	3423	4019
460	3431	4011
461	3438	4003
462	3445	3996
463	3453	3988
464	3459	3980
465	3466	3972
466	3473	3964
467	3481	3957
468	3487	3949
469	3496	3942
470	3503	3935
471	3510	3926
472	3517	3919
473	3524	3911
474	3532	3904
475	3538	3895
476	3546	3888
477	3552	3879
478	3560	3872
479	3566	3863
480	3573	3856
481	3580	3848
482	3588	3840
483	3594	3832
484	3602	3825
485	3609	3817
486	3616	3809
487	3623	3801
488	3629	3792
489	3636	3784
490	3643	3776
491	3650	3769
492	3657	3761
493	3664	3753
494	3672	3746
495	3679	3738
496	3685	3730
497	3691	3721
498	3698	3713
499	3705	3705
500	3712	3697
501	3719	3689
502	3726	3682
503	3733	3674
504	3740	3666
505	3746	3657
506	3753	3649
507	3760	3641
508	3767	3633
509	3774	3626
510	3781	3618
511	3787	3610
512	3794	3602
513	3801	3594
514	3808	3586
515	3815	3578
516	3821	3570
517	3828	3562
518	3835	3554
519	3841	3546
520	3848	3538
521	3855	3530
522	3862	3522
523	3868	3514
524	3877	3508
525	3885	3501
526	3891	3493
527	3898	3485
528	3905	3477
529	3911	3468
530	3919	3461
531	3926	3453
532	3932	3445
533	3938	3437
534	3945	3429
535	3952	3421
536	3959	3413
537	3966	3406
538	3972	3397
539	3980	3390
540	3987	3382
541	3993	3374
542	4000	3366
543	4006	3358
544	4013	3350
545	4019	3342
546	4026	3334
547	4033	3326
548	4040	3319
549	4047	3311
550	4054	3304
551	4061	3296
552	4067	3288
553	4075	3281
554	4082	3273
555	4089	3265
556	4096	3257
557	4103	3250
558	4109	3242
559	4116	3234
560	4123	3226
561	4130	3218
562	4137	3211
563	4144	3203
564	4150	3195
565	4157	3187
566	4164	3180
567	4170	3172
568	4176	3163
569	4183	3156
570	4190	3148
571	4197	3140
572	4203	3132
573	4210	3125
574	4217	3117
575	4224	3109
576	4231	3102
577	4238	3094
578	4244	3086
579	4251	3078
580	4257	3070
581	4264	3062
582	4271	3055
583	4278	3047
584	4284	3039
585	4292	3032
586	4299	3024
587	4305	3017
588	4312	3009
589	4319	3001
590	4325	2993
591	4332	2986
592	4339	2978
593	4345	2970
594	4353	2963
595	4360	2955
596	4367	2948
597	4374	2940
598	4381	2933
599	4388	2925
600	4394	2917
601	4401	2910
602	4408	2902
603	4415	2894
604	4422	2887
605	4428	2879
606	4435	2871
607	4442	2864
608	4449	2856
609	4457	2849
610	4463	2841
611	4470	2834
612	4477	2826
613	4483	2818
614	4490	2811
615	4496	2803
616	4503	2795
617	4510	2787
618	4516	2779
619	4522	2771
620	4529	2764
621	4536	2756
622	4543	2749
623	4550	2741
624	4556	2734
625	4564	2727
626	4571	2719
627	4578	2712
628	4586	2705
629	4594	2698
630	4600	2690
631	4607	2682
632	4613	2674
633	4620	2667
634	4627	2659
635	4633	2651
636	4640	2644
637	4648	2637
638	4657	2631
639	4664	2623
640	4672	2617
641	4681	2610
642	4690	2604
643	4697	2596
644	4706	2590
645	4715	2583
646	4723	2577
647	4730	2569
648	4739	2563
649	4747	2556
650	4755	2549
651	4763	2542
652	4770	2535
653	4779	2528
654	4789	2522
655	4796	2515
656	4803	2507
657	4811	2500
658	4818	2493
659	4827	2487
660	4836	2480
661	4845	2473
662	4854	2467
663	4862	2460
664	4870	2453
665	4878	2446
666	4885	2439
667	4894	2432
668	4902	2425
669	4910	2418
670	4917	2411
671	4925	2403
672	4932	2396
673	4940	2389
674	4948	2382
675	4955	2375
676	4963	2368
677	4970	2360
678	4977	2353
679	4984	2345
680	4991	2337
681	4998	2330
682	5005	2322
683	5012	2315
684	5018	2307
685	5026	2300
686	5032	2292
687	5039	2285
688	5046	2277
689	5053	2270
690	5061	2263
691	5068	2256
692	5075	2248
693	5083	2241
694	5090	2234
695	5098	2226
696	5104	2218
697	5110	2211
698	5118	2203
699	5125	2196
700	5132	2189
701	5139	2181
702	5146	2174
703	5153	2166
704	5160	2159
705	5167	2152
706	5174	2144
707	5181	2136
708	5187	2129
709	5194	2121
710	5201	2114
711	5209	2107
712	5216	2099
713	5224	2092
714	5230	2084
715	5237	2077
716	5243	2069
717	5250	2062
718	5257	2054
719	5264	2047
720	5271	2039
721	5278	2032
722	5285	2025
723	5293	2017
724	5300	2010
725	5307	2003
726	5315	1995
727	5321	1988
728	5328	1980
729	5335	1973
730	5342	1966
731	5349	1958
732	5356	1951
733	5363	1943
734	5369	1936
735	5376	1928
736	5383	1921
737	5390	1913
738	5397	1906
739	5405	1899
740	5412	1891
741	5419	1884
742	5425	1876
743	5432	1869
744	5438	1861
745	5445	1854
746	5452	1846
747	5460	1839
748	5468	1832
749	5476	1825
750	5486	1819
751	5494	1812
752	5503	1805
753	5512	1798
754	5520	1791
755	5529	1784
756	5537	1777
757	5545	1770
758	5553	1763
759	5561	1756
760	5569	1749
761	5577	1741
762	5584	1734
763	5592	1727
764	5600	1720
765	5608	1713
766	5616	1706
767	5624	1699
768	5632	1692
769	5641	1685
770	5649	1677
771	5658	1671
772	5666	1664
773	5674	1656
774	5681	1649
775	5689	1642
776	5697	1635
777	5705	1627
778	5712	1620
779	5720	1613
780	5727	1605
781	5734	1598
