iter	Logloss
157	0.200641467
158	0.2005226723
159	0.2003028028
160	0.1998950388
161	0.1992208349
162	0.1988792348
163	0.1982671451
164	0.1977632119
165	0.197486554
166	0.1972672493
167	0.1970659941
168	0.1968771193
169	0.1966827353
170	0.1965004791
171	0.1958154124
172	0.1953029947
173	0.1950317506
174	0.1944429065
175	0.1939598607
176	0.1935910241
177	0.1928197636
178	0.1925655964
179	0.192336128
180	0.1919960755
181	0.1916056416
182	0.1910616346
183	0.1909357358
184	0.1905835479
185	0.1903777814
186	0.1900926409
187	0.1893121494
188	0.1882797348
189	0.1879899682
190	0.1874702436
191	0.186693183
192	0.186380191
193	0.1861138908
194	0.1854999065
195	0.185302432
196	0.1848643587
197	0.1845867103
198	0.1838954311
199	0.1834784796
200	0.182649664
201	0.1820293002
202	0.1815624124
203	0.1810110028
204	0.1806259627
205	0.1803053398
206	0.1801397058
207	0.1799796056
208	0.1798563141
209	0.1792272526
210	0.1789799337
211	0.1788237288
212	0.1784904785
213	0.1783950999
214	0.1782480188
215	0.1777669366
216	0.1775109586
217	0.1770006545
218	0.1768650652
219	0.1764312911
220	0.1762821108
221	0.1759568848
222	0.1749191124
223	0.1744558056
224	0.1743168629
225	0.1741414027
226	0.1736675584
227	0.1730564956
228	0.1729217896
229	0.1727419205
230	0.1726196111
231	0.1719397255
232	0.1717349859
233	0.1714604395
234	0.1709672049
235	0.1705181778
236	0.1703240433
237	0.1702287288
238	0.169826973
239	0.1696726477
240	0.1693623769
241	0.1691792643
242	0.1685389411
243	0.1684170189
244	0.1678818394
245	0.1673422229
246	0.1671889256
247	0.1670600906
248	0.1669526438
249	0.166775415
250	0.1665951996
251	0.1661620967
252	0.166069429
253	0.1659509201
254	0.1656853654
255	0.1654953699
256	0.1651419766
257	0.1649611636
258	0.1644681261
259	0.1640806019
260	0.1639195229
261	0.1638320987
262	0.1636666109
263	0.1633370589
264	0.1629816718
265	0.1628443739
266	0.1627280893
267	0.1625658571
268	0.1622922693
269	0.1621783011
270	0.1618852395
271	0.161690544
272	0.1614337236
273	0.161305149
274	0.1610093362
275	0.160926201
276	0.1607515897
277	0.1605269015
278	0.1601562578
279	0.1600321712
280	0.1598890145
281	0.1597545414
282	0.1596487497
283	0.1595240429
284	0.1593017643
285	0.1592028177
286	0.1590604085
287	0.1589624434
288	0.1588863717
289	0.1587115282
290	0.1586057637
291	0.1584857317
292	0.1583957801
293	0.1582632386
294	0.1579716052
295	0.1578707858
296	0.1575801392
297	0.1573096272
298	0.1569382841
299	0.1567950398
300	0.156634071
301	0.1564033301
302	0.1563048994
303	0.1559871477
304	0.1559134837
305	0.1557041271
306	0.1554721272
307	0.1553371069
308	0.1550411768
309	0.154859536
310	0.1546539306
311	0.1543739886
312	0.1542979286
313	0.1541720545
314	0.1537843792
315	0.1536705707
316	0.1535903
317	0.1534313629
318	0.1533183045
319	0.1532346282
320	0.1530343479
321	0.1528557102
322	0.1525092177
323	0.1522989428
324	0.1519434332
325	0.1518379576
326	0.1515349343
327	0.151392344
328	0.151096697
329	0.1509081645
330	0.1506289736
331	0.1503329594
332	0.1502534214
333	0.1501450183
334	0.1499495603
335	0.1496855801
336	0.1494978069
337	0.1491536814
338	0.1490935197
339	0.1489779822
340	0.1487950992
341	0.1487248587
342	0.1484978321
343	0.1483300197
344	0.1481519142
345	0.1478982118
346	0.1476798585
347	0.1475912116
348	0.1475351773
349	0.1474787466
350	0.1473557919
351	0.1471952764
352	0.1471226563
353	0.1470557695
354	0.1469365584
355	0.146878911
356	0.1467791229
357	0.1467077358
358	0.1463537283
359	0.146137206
360	0.1460110767
361	0.1459477678
362	0.1458356403
363	0.1457275938
364	0.14554091
365	0.1450660552
366	0.1449840604
367	0.1448756339
368	0.1445594066
369	0.144420331
370	0.1443239929
371	0.1441737436
372	0.144096079
373	0.1440404412
374	0.1438428139
375	0.1437036215
376	0.1436470493
377	0.1434577105
378	0.1430613268
379	0.142888723
380	0.1427476007
381	0.1426056653
382	0.142524197
383	0.1424568407
384	0.1423849936
385	0.1422618379
386	0.1421871873
387	0.1420415208
388	0.141880754
389	0.1418309589
390	0.1417548335
391	0.1416571964
392	0.1415621711
393	0.1414291605
394	0.1410893338
395	0.1409617333
396	0.1408939235
397	0.1407722944
398	0.140717091
399	0.1406299418
400	0.1405428569
401	0.1403313976
402	0.1402194324
403	0.1401660746
404	0.1400678261
405	0.1399178326
406	0.1396723561
407	0.1396257909
408	0.1394957359
409	0.1394230796
410	0.1393496026
411	0.1392270701
412	0.1391396274
413	0.1389905777
414	0.1388939165
415	0.1388287051
416	0.1387322943
417	0.1385347155
418	0.1384011795
419	0.1382937316
420	0.1382514508
421	0.1381890415
422	0.1380917068
423	0.1380438913
424	0.1379905875
425	0.1379149843
426	0.1378687353
427	0.1376822814
428	0.1376005228
429	0.1375410623
430	0.1374854143
431	0.1373720257
432	0.1372367625
433	0.1371823501
434	0.1369209292
435	0.1368739681
436	0.1367635804
437	0.1366859566
438	0.1365733033
439	0.1364794307
440	0.1363616307
441	0.1362849066
442	0.1362359668
443	0.1361930737
444	0.1361420854
445	0.1360368668
446	0.1359963147
447	0.1359423194
448	0.1357769874
449	0.1356826413
450	0.1354892622
451	0.135428213
452	0.1353818876
453	0.1353262793
454	0.1352709092
455	0.1352084429
456	0.135125485
457	0.1350355548
458	0.1349555256
459	0.1346672237
460	0.1345746873
461	0.1345136128
462	0.1344495434
463	0.1343518139
464	0.1342911539
465	0.1341356434
466	0.1340671099
467	0.1339011682
468	0.1338235441
469	0.1337659338
470	0.1337011237
471	0.1336218224
472	0.1334756773
473	0.1334299778
474	0.1333815817
475	0.1331655754
476	0.1331094189
477	0.1330605943
478	0.1329463546
479	0.1328979189
480	0.132824317
481	0.1326685122
482	0.1324206556
483	0.1323336294
484	0.1322417574
485	0.1321581654
486	0.1320456487
487	0.1320049169
488	0.1319539748
489	0.1318557783
490	0.1317048295
491	0.1316253999
492	0.1314965653
493	0.1314347193
494	0.1313830467
495	0.1313129464
496	0.1312459624
497	0.1311420314
498	0.1310768239
499	0.1310408644
500	0.1309763851
501	0.1308791598
502	0.130790155
503	0.1306929813
504	0.1305738981
505	0.130505925
506	0.130397168
507	0.1303451137
508	0.1303083023
509	0.1302039235
510	0.1300446888
511	0.1299977107
512	0.1299174983
513	0.1297010308
514	0.1295354017
515	0.1294041799
516	0.1293509694
517	0.1293028387
518	0.1291818323
519	0.1291185295
520	0.1290396968
521	0.1289816265
522	0.1289421676
523	0.1288055037
524	0.1287341372
525	0.1286818401
526	0.1286061002
527	0.1285709024
528	0.1285152805
529	0.1283911245
530	0.1283301986
531	0.1282999263
532	0.1282328922
533	0.1281618271
534	0.1281083833
535	0.1280590614
536	0.1279570883
537	0.1279251168
538	0.1278609411
539	0.1277609591
540	0.1276874146
541	0.1276565313
542	0.1275410732
543	0.1274908322
544	0.1273959291
545	0.1273256418
546	0.1272612185
547	0.1271115066
548	0.1270578748
549	0.1269983992
550	0.1268398323
551	0.1267970802
552	0.1267212666
553	0.1265987603
554	0.1265135204
555	0.1264481592
556	0.1263879627
557	0.1263101494
558	0.1262294374
559	0.1261693194
560	0.1260729242
561	0.1260250924
562	0.1259846803
563	0.125941271
564	0.1258377099
565	0.1257829493
566	0.1256980323
567	0.1256537985
568	0.1256046165
569	0.1254925856
570	0.1254501397
571	0.1253709817
572	0.1253250795
573	0.1252424705
574	0.1251774015
575	0.1250940732
576	0.1250510027
577	0.1249998808
578	0.1249301809
579	0.1248813877
580	0.1248416465
581	0.1247894713
582	0.1247621111
583	0.1247067129
584	0.1246461453
585	0.1245933924
586	0.124561943
587	0.1244926201
588	0.1244631376
589	0.1243626052
590	0.1243246599
591	0.124172384
592	0.1240962019
593	0.1239989306
594	0.1239534833
595	0.123881398
596	0.1238248888
597	0.1237877917
598	0.1237072772
599	0.1235851284
600	0.1234931007
601	0.1233785755
602	0.1233063137
603	0.1232724789
604	0.1232054726
605	0.1231427454
606	0.1230998414
607	0.1230384653
608	0.1229107923
609	0.1228379838
610	0.122795129
611	0.122730335
612	0.122610094
613	0.1225403707
614	0.1224701928
615	0.1224133696
616	0.1223361598
617	0.1222995678
618	0.1222623832
619	0.1222177304
620	0.1221375541
621	0.122079033
622	0.1219964984
623	0.1219109365
624	0.1218127697
625	0.1217499196
626	0.1217000003
627	0.1216626677
628	0.1216291116
629	0.1215665362
630	0.1215348046
631	0.1214782257
632	0.1214474273
633	0.1214080192
634	0.1213205674
635	0.121257598
636	0.1212337125
637	0.1211621829
638	0.1211347391
639	0.1210967323
640	0.1210267096
641	0.1209802444
642	0.1209424853
643	0.1208944923
644	0.1207943238
645	0.1207372366
646	0.1206715889
647	0.1206157214
648	0.1205795473
649	0.1205384047
650	0.1205003996
651	0.1204435268
652	0.1203928082
653	0.120330132
654	0.1202805012
655	0.1202397765
656	0.1201723518
657	0.1201055581
658	0.1200566049
659	0.1199696369
660	0.1198940501
661	0.1198130301
662	0.1197508059
663	0.1196475284
664	0.1196018011
665	0.1195703559
666	0.1195223319
667	0.119388117
668	0.1193275281
669	0.119239291
670	0.1191788954
671	0.1191395226
672	0.1191006445
673	0.1190422899
674	0.1190002767
675	0.1189286961
676	0.1188628799
677	0.1188212609
678	0.1187776719
679	0.1187182652
680	0.1186888746
681	0.1186113096
682	0.1185321068
683	0.118505143
684	0.1184304729
685	0.1183658204
686	0.1182963792
687	0.1182632504
688	0.1182102313
689	0.1181673636
690	0.1180930708
691	0.1179779908
692	0.1178733919
693	0.1177535407
694	0.1176993317
695	0.1176492861
696	0.1175845321
697	0.1175248806
698	0.1174402948
699	0.1173750742
700	0.1173237666
701	0.11713209
702	0.1170514975
703	0.1169922821
704	0.1169211505
705	0.1168673754
706	0.1168214153
707	0.1167996858
708	0.1167434631
709	0.1167042075
710	0.116650221
711	0.1165929566
712	0.1165113808
713	0.1164510839
714	0.1164204096
715	0.1163976006
716	0.1163833857
717	0.1162930249
718	0.1162549534
719	0.1161877896
720	0.116141458
721	0.1161113973
722	0.1160729486
723	0.1160241294
724	0.1159445686
725	0.115861517
726	0.1157921825
727	0.1157595796
728	0.1157017118
729	0.1156424536
730	0.1155881879
731	0.1155277828
732	0.1155121077
733	0.1154555258
734	0.1154150114
735	0.1153943178
736	0.1153726855
737	0.1153252538
738	0.1152583737
739	0.1152408521
740	0.1151934734
741	0.1151517705
742	0.1151211354
743	0.1150903835
744	0.115051655
745	0.1150210081
746	0.1149921952
747	0.1149684337
748	0.1149104378
749	0.1148393177
750	0.1147859688
751	0.1147369675
752	0.1146824018
753	0.1146353443
754	0.1146044303
755	0.114583422
756	0.1145621256
757	0.1145280537
758	0.1144674602
759	0.1144264234
760	0.1143951806
761	0.1143392713
762	0.1142976223
763	0.1142057828
764	0.1141535467
765	0.1140821443
766	0.1140361485
767	0.1139973009
768	0.1139498085
769	0.113898197
770	0.1138601085
771	0.1138252105
772	0.1137454911
773	0.1137012013
774	0.1136593361
775	0.1136028675
776	0.113562333
777	0.1134894283
778	0.11347275
779	0.1134149549
780	0.1133971198
781	0.1133260582
782	0.1132622313
783	0.1132058778
784	0.1131384813
785	0.1130861244
786	0.1130613055
787	0.1130060348
788	0.1129507912
789	0.112895432
790	0.1128620882
791	0.1128273202
792	0.1127854336
793	0.1127212422
794	0.112664834
795	0.1126123251
796	0.1125549863
797	0.1125263999
798	0.1125027124
799	0.1124717126
800	0.1124123619
801	0.1123713952
802	0.1123166034
803	0.1122819213
804	0.1122245198
805	0.1121746843
806	0.112120333
807	0.1120788771
808	0.1120391363
809	0.1120092435
810	0.1119527121
811	0.1119221886
812	0.1118851355
813	0.1118533121
814	0.111757282
815	0.1117009949
816	0.1116724644
817	0.111621396
818	0.1115988917
819	0.1115666986
820	0.1115336234
821	0.1114750174
822	0.1113928805
823	0.1113654988
824	0.1113183562
825	0.1112482518
826	0.1111965933
827	0.1111665574
828	0.1111138096
829	0.1110500888
830	0.1110372727
831	0.1110042946
832	0.1109448524
833	0.1109061835
834	0.1108783385
835	0.1108217957
836	0.1107781267
837	0.1107452212
838	0.1107201899
839	0.1106866171
840	0.1106519351
841	0.110608501
842	0.1105672399
843	0.1104641144
844	0.1104158024
845	0.1103680395
846	0.1103300142
847	0.1102703212
848	0.110212372
849	0.1101829541
850	0.110145561
851	0.1101263333
852	0.110108727
853	0.1100737501
854	0.1100419534
855	0.1100068897
856	0.1099478623
857	0.1099320575
858	0.1098780911
859	0.1098419013
860	0.1097446736
861	0.1097007545
862	0.1096522844
863	0.1096265659
864	0.1095753979
865	0.1095143061
866	0.1094732803
867	0.1094376711
868	0.1093991306
869	0.1093668845
870	0.1092851872
871	0.1092336204
872	0.1092029541
873	0.1091684472
874	0.109146774
875	0.1090956396
876	0.1090724533
877	0.1089745389
878	0.1089249179
879	0.1088911789
880	0.1088258829
881	0.1087688802
882	0.1086959346
883	0.1086555284
884	0.1086228665
885	0.1085983724
886	0.1085536648
887	0.1085287584
888	0.1084772469
889	0.1084184393
890	0.1083860352
891	0.1083550134
892	0.10830714
893	0.1082780519
894	0.1082251111
895	0.108210109
896	0.1081630218
897	0.1081370295
898	0.108099077
899	0.108064447
900	0.1080295229
901	0.1080035987
902	0.1079695975
903	0.1079160002
904	0.107878331
905	0.1078363519
906	0.1077983028
907	0.1077750403
908	0.1077489217
909	0.1076656476
910	0.1076139991
911	0.1075721926
912	0.1075468299
913	0.1075053535
914	0.1074679033
915	0.107431372
916	0.1073959682
917	0.1073610197
918	0.1073342555
919	0.1072988351
920	0.1072609656
921	0.1072149864
922	0.1071806887
923	0.1070903675
924	0.1070472253
925	0.1069602418
926	0.1069135014
927	0.1068487986
928	0.106803323
929	0.1067731162
930	0.1067356898
931	0.1066886653
932	0.1066488112
933	0.1066040009
934	0.1065456392
935	0.1064984582
936	0.1064666224
937	0.1064110539
938	0.1063785585
939	0.1063598611
940	0.1062704593
941	0.1062341298
942	0.1062061669
943	0.10618966
944	0.1061741135
945	0.1061342738
946	0.1061132035
947	0.1060811301
948	0.1060399377
949	0.105974895
950	0.1059545092
951	0.1059172644
952	0.1058727089
953	0.1058362206
954	0.1057976108
955	0.1057134698
956	0.105642319
957	0.1055996694
958	0.1055736109
959	0.105541674
960	0.1055046764
961	0.1054608648
962	0.1054020724
963	0.1053504571
964	0.1052933198
965	0.1052523995
966	0.1051831431
967	0.1051462592
968	0.1051091126
969	0.1050301084
970	0.1049826908
971	0.1049088053
972	0.1048601595
973	0.1048256847
974	0.1048070817
975	0.1047774132
976	0.1047008966
977	0.1046514715
978	0.104621362
979	0.104568869
980	0.1045451446
981	0.1044995448
982	0.1044608944
983	0.1044430138
984	0.1044097808
985	0.1043872328
986	0.1043599922
987	0.1043285596
988	0.1043049647
989	0.1042701353
990	0.1042225301
991	0.1041797166
992	0.1041389198
993	0.1040960336
994	0.1040685089
995	0.1040468629
996	0.1039977041
997	0.103979563
998	0.103940419
999	0.1038946544
